participant_id,group,condition,filename,channel,mean_raw,sd_raw,min_raw,max_raw
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,PzLE,808.700796025641,1120.2800717995106,-445.179,4369.316
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,F4LE,-540.174891111681,214.89856737705276,-868.4234241638179,376.133368011474
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,C4LE,-743.5134131829365,145.32542212456735,-987.1099710083009,-331.090942810059
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,P4LE,-564.0374860981399,128.75624467439658,-700.381897766113,-267.50063269043
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,P3LE,-99.60126487980764,140.19482798858274,-695.324109374999,194.845177734375
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,C3LE,-202.35346983974364,48.986605125562335,-314.300198669434,5.92051788330082
sub-control-01,control,baseline,eeg_1500046_21_1653460112005.csv,F3LE,-499.8759810559394,297.0045204513898,-1172.05734869385,-49.1324078369141
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,PzLE,-82.8315813681592,179.00729422200442,-704.942,822.332
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,F4LE,-141.4282191181733,182.9495619103542,-1053.23755276489,3580.50330966186
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,C4LE,-199.67785226671666,173.53642996910648,-718.331392700195,7237.60680200195
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,P4LE,-241.67920993359618,138.67244069013464,-1247.4914319458,2915.35082189941
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,P3LE,-236.61775451621273,83.0157484102089,-614.91360546875,32.3598515625
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,C3LE,-280.26931398430287,264.78358230136394,-2097.40911560059,1000.70283816528
sub-control-02,control,vr,eeg_1500192_9_1661323145626.csv,F3LE,-158.3366168695539,208.7293283158612,-852.318463623047,809.3529182128899
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,PzLE,370.36571053407005,146.44457818076964,-4.214,665.21
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,F4LE,-229.52649402819327,382.6354000269291,-976.4899656982419,395.2208722229
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,C4LE,-559.95088379136,129.69959193671355,-851.799650146484,-301.430464538574
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,P4LE,2019.2981521548713,892.6785805708668,817.9986398315431,3450.42443457031
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,P3LE,-367.2811062934865,216.44969142727547,-913.4956113281249,109.728609375
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,C3LE,-448.07061967445725,179.27262590609683,-745.288235473633,-104.142950317383
sub-triathlete-01,triathlete,baseline,eeg_1500025_21_1652258595932.csv,F3LE,-771.952445411894,207.7553597220501,-1475.54609179687,-398.75037463378897
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,PzLE,105.7902773138686,234.31163203431896,-316.351,921.361
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,F4LE,229.88869437413845,395.54081859194383,-303.1065958,4203.28533511352
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,C4LE,1157.5273838082107,2077.692962328725,-1280.262495,9541.0384944458
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,P4LE,970.9593063105701,1166.3808113333366,-274.1808522,5069.97861553955
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,P3LE,-199.54441288942135,231.06034745937598,-1351.110223,617.973870117188
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,C3LE,-108.10688032465173,352.5909845315003,-1582.829067,3458.46927685547
sub-triathlete-01,triathlete,vr,eeg_1500025_9_1652261665542.csv,F3LE,169.56278525275064,438.601484979706,-1275.617332,3666.8958486938495
